pair,window,feature_set,method,n_test,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,fault_detection_recall,fault_recall_ci_lo,fault_recall_ci_hi,false_event_rate,event_level_recall,event_recall_ci_lo,event_recall_ci_hi,n_true_instances_test,gradual_shift_recall,n_gradual_shift_instances,gradual_shift_median_latency_s,gradual_shift_n_missed
temperature,20,b_single_plus_cross,logistic_regression,68521,0.5340633278531794,0.49363608395593667,0.5751168225810602,0.5326252009720959,0.510926929117419,0.5556619242079613,0.06710526315789474,0.03448967480154796,0.11310285810545193,0.012208067940552018,0.10909090909090909,0.07272727272727272,0.15454545454545454,220,0.05660377358490566,53,1290.003545,50
temperature,20,b_single_plus_cross,decision_tree,68521,0.6558126401383897,0.6196063072593739,0.6887613267377615,0.616197538831567,0.588367483535163,0.6437586605445104,0.24578947368421053,0.2043813357378732,0.3097588417360963,0.04246284501061571,0.6227272727272727,0.5635227272727272,0.6863636363636364,220,0.660377358490566,53,90.000247,18
temperature,20,b_single_plus_cross,random_forest,68521,0.6217009361992282,0.586718208586286,0.65193614571441,0.5891137616533577,0.5648886767265339,0.6114129176878624,0.18842105263157893,0.1503939590381973,0.2470780809888723,0.01884288747346072,0.5181818181818182,0.45454545454545453,0.5818181818181818,220,0.4528301886792453,53,165.000445,29
temperature,20,c_plus_ah,logistic_regression,68521,0.540621372150422,0.5020174337737673,0.5812118004452016,0.5362040226384646,0.5143898806550513,0.5605479303452127,0.07578947368421053,0.04094234946827628,0.12509493259473536,0.013535031847133758,0.12272727272727273,0.08181818181818182,0.16363636363636364,220,0.05660377358490566,53,1290.003545,50
temperature,20,c_plus_ah,decision_tree,68521,0.6431226851739689,0.6060298142371079,0.6735158148807256,0.6089414321308269,0.5804830846730341,0.6352171572381162,0.23671052631578948,0.19196380267133237,0.2881989342173672,0.04538216560509554,0.6272727272727273,0.5636363636363636,0.6909090909090909,220,0.6415094339622641,53,120.000319,19
temperature,20,c_plus_ah,random_forest,68521,0.6096588669219658,0.575234664054845,0.6439786775318286,0.5793147639868371,0.5572337072349025,0.603155264899507,0.16421052631578947,0.11848332245471552,0.2232169794139662,0.015658174097664544,0.37272727272727274,0.3135227272727273,0.43636363636363634,220,0.11320754716981132,53,600.001654,47
temperature,20,d_cross_only,logistic_regression,68521,0.535651264172926,0.49586387044270186,0.5779924062362437,0.5335377849138531,0.5122306692815073,0.5575826288319758,0.06868421052631579,0.03637006394470682,0.11304397330992362,0.0050424628450106155,0.1,0.06363636363636363,0.1409090909090909,220,0.03773584905660377,53,840.0022905000001,51
temperature,20,d_cross_only,decision_tree,68521,0.5828790816457587,0.5478836811921639,0.617747700972851,0.5635202438619817,0.5403501071683943,0.5887540491580268,0.14407894736842106,0.10861762898919938,0.20350425199376193,0.05334394904458599,0.41363636363636364,0.35,0.4727272727272727,220,0.2641509433962264,53,615.001716,39
temperature,20,d_cross_only,random_forest,68521,0.5937577523388515,0.559333621131824,0.6312393239352068,0.5705156753915123,0.5472230609125204,0.5977110877922898,0.15513157894736843,0.11665799458175674,0.20993204973437243,0.03927813163481953,0.45,0.38636363636363635,0.5227272727272727,220,0.2830188679245283,53,600.001667,38
humidity,5,n/a,baseline_single_channel_rule,70529,0.4930162238539751,0.48719072921359474,0.49891569899270716,0.496962150100577,0.4929787663812008,0.5015991708220391,0.06775099461736485,0.05800200619357033,0.0764580343013374,0.06553456110978235,0.782051282051282,0.7306623931623931,0.8376068376068376,234,0.9298245614035088,57,360.000978,4
