computed_ts,window_minutes,component,available,crisp_score,membership_favorable,membership_acceptable,membership_degraded,membership_critical,room,season
2026-06-18 08:50:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:50:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:50:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 08:55:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 08:55:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 08:55:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:00:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:00:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:00:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:05:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:05:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:05:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:10:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:10:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:10:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:15:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:15:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:15:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:20:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:20:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:20:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:25:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:25:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:25:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:30:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:30:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:30:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:35:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:35:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:35:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:40:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:40:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:40:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:45:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:45:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:45:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:50:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:50:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:50:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 09:55:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 09:55:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 09:55:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:00:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:00:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 10:00:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:05:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:05:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 10:05:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:10:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:10:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 10:10:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:15:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:15:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 10:15:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:20:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:20:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 10:20:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:25:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:25:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 10:25:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:30:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:30:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 10:30:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:35:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:35:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 10:35:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:40:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:40:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 10:40:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:45:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:45:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 10:45:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:50:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:50:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 10:50:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 10:55:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 10:55:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 10:55:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 11:00:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 11:00:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 11:00:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 11:05:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 11:05:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 11:05:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 11:10:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 11:10:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 11:10:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 11:15:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 11:15:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 11:15:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 11:20:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 11:20:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 11:20:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 11:25:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 11:25:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 11:25:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 11:30:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 11:30:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 11:30:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 11:35:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 11:35:00+03:00,15,M,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-18 11:35:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-18 11:40:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-18 11:40:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-18 11:40:00+03:00,15,V,False,,,,,,kitchen,warm_period
